Threshold,Accuracy,Balanced Accuracy,Precision,Recall/Sensitivity,Specificity,NPV,F1-macro,ROC-AUC,Brier score
0.86,0.3125,0.5416666666666666,1.0,0.08333333333333333,1.0,0.26666666666666666,0.2874493927125506,0.875,0.20014339554667712
0.865,0.3125,0.5416666666666666,1.0,0.08333333333333333,1.0,0.26666666666666666,0.2874493927125506,0.875,0.20014339554667712
0.87,0.3125,0.5416666666666666,1.0,0.08333333333333333,1.0,0.26666666666666666,0.2874493927125506,0.875,0.20014339554667712
0.875,0.3125,0.5416666666666666,1.0,0.08333333333333333,1.0,0.26666666666666666,0.2874493927125506,0.875,0.20014339554667712
0.88,0.3125,0.5416666666666666,1.0,0.08333333333333333,1.0,0.26666666666666666,0.2874493927125506,0.875,0.20014339554667712
0.885,0.3125,0.5416666666666666,1.0,0.08333333333333333,1.0,0.26666666666666666,0.2874493927125506,0.875,0.20014339554667712
0.89,0.3125,0.5416666666666666,1.0,0.08333333333333333,1.0,0.26666666666666666,0.2874493927125506,0.875,0.20014339554667712
0.895,0.3125,0.5416666666666666,1.0,0.08333333333333333,1.0,0.26666666666666666,0.2874493927125506,0.875,0.20014339554667712
0.9,0.3125,0.5416666666666666,1.0,0.08333333333333333,1.0,0.26666666666666666,0.2874493927125506,0.875,0.20014339554667712
0.905,0.3125,0.5416666666666666,1.0,0.08333333333333333,1.0,0.26666666666666666,0.2874493927125506,0.875,0.20014339554667712
0.91,0.3125,0.5416666666666666,1.0,0.08333333333333333,1.0,0.26666666666666666,0.2874493927125506,0.875,0.20014339554667712
0.9117217992409484,0.3125,0.5416666666666666,1.0,0.08333333333333333,1.0,0.26666666666666666,0.2874493927125506,0.875,0.20014339554667712
0.915,0.28125,0.5208333333333334,1.0,0.041666666666666664,1.0,0.25806451612903225,0.24512820512820513,0.875,0.20014339554667712
0.92,0.28125,0.5208333333333334,1.0,0.041666666666666664,1.0,0.25806451612903225,0.24512820512820513,0.875,0.20014339554667712
0.925,0.28125,0.5208333333333334,1.0,0.041666666666666664,1.0,0.25806451612903225,0.24512820512820513,0.875,0.20014339554667712
0.93,0.28125,0.5208333333333334,1.0,0.041666666666666664,1.0,0.25806451612903225,0.24512820512820513,0.875,0.20014339554667712
0.9324748422341211,0.28125,0.5208333333333334,1.0,0.041666666666666664,1.0,0.25806451612903225,0.24512820512820513,0.875,0.20014339554667712
0.935,0.25,0.5,0.0,0.0,1.0,0.25,0.2,0.875,0.20014339554667712
0.9400000000000001,0.25,0.5,0.0,0.0,1.0,0.25,0.2,0.875,0.20014339554667712
